REPOSITORY                                      TAG                                   IMAGE ID            CREATED             SIZE
odanilov/ubuntu-tmp-file                        latest                                41252e72b84b        21 seconds ago      119MB
ubuntu                                          16.04                                 a3551444fc85        7 days ago          119MB
rabbitmq                                        3-management                          ac01c753758c        3 weeks ago         213MB
rabbitmq                                        latest                                a15392c63ae5        3 weeks ago         183MB
circleci/ruby                                   2.5.3-stretch-node-browsers           325083544380        3 months ago        2.02GB
circleci/postgres                               9.4-alpine-ram                        4729cfbcfd94        3 months ago        37.2MB
circleci/picard                                 latest                                8d6f9bf5f407        3 months ago        102MB
hello-world                                     latest                                fce289e99eb9        4 months ago        1.84kB
smartstore-web_frontend                         latest                                e3b702f6db93        4 months ago        1.17GB
smartstore-web_backend                          latest                                1234f73a310e        4 months ago        953MB
<none>                                          <none>                                4ea07672dd70        4 months ago        777MB
smartstore-web_db                               latest                                15b9534e13ee        4 months ago        229MB
nginx                                           stable-alpine                         c5b6f731fbc0        4 months ago        17.7MB
node                                            latest                                2824ef9be5b3        4 months ago        894MB
golang                                          latest                                2422e4d43e15        4 months ago        775MB
postgres                                        9.6                                   12fd61c0e7e1        5 months ago        229MB
conditor/conditores-rp                          1.1.0                                 718eaa2de52a        10 months ago       210MB
conditor/conditores-elasticsearch               1.1.0                                 d5eced6bbe58        10 months ago       796MB
docker.elastic.co/kibana/kibana                 6.3.0                                 878491bdc281        10 months ago       729MB
docker.elastic.co/elasticsearch/elasticsearch   6.2.4                                 7cb69da7148d        12 months ago       515MB
silentshade/rabbitmq                            3.6-delayed-message-exchange-alpine   e276bdd83491        19 months ago       38.9MB
circleci/ruby                                   2.3.4-node-browsers                   f404d9a64da8        19 months ago       1.83GB
redis                                           3.2.7-alpine                          147b1b8460d2        2 years ago         22.1MB
